2026-03-25 15:00:23 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 2916
2026-03-25 15:00:23 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2026-03-25 15:00:23 0 [Note] InnoDB: Uses event mutexes
2026-03-25 15:00:23 0 [Note] InnoDB: Compressed tables use zlib 1.3
2026-03-25 15:00:23 0 [Note] InnoDB: Number of pools: 1
2026-03-25 15:00:23 0 [Note] InnoDB: Using SSE2 crc32 instructions
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=315] with future log sequence number 1304383
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=214] with future log sequence number 1304339
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=326] with future log sequence number 1304339
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=213] with future log sequence number 1304295
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=350] with future log sequence number 1304295
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=212] with future log sequence number 1304251
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=349] with future log sequence number 1304251
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=211] with future log sequence number 1304207
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=325] with future log sequence number 1304207
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=210] with future log sequence number 1304163
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=353] with future log sequence number 1304163
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=209] with future log sequence number 1304119
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=336] with future log sequence number 1304119
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=208] with future log sequence number 1304059
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=345] with future log sequence number 1304059
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=207] with future log sequence number 1304015
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=347] with future log sequence number 1304015
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=206] with future log sequence number 1303971
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=343] with future log sequence number 1303971
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=205] with future log sequence number 1303927
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=342] with future log sequence number 1303927
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=204] with future log sequence number 1303883
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=341] with future log sequence number 1303883
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=203] with future log sequence number 1303839
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=438] with future log sequence number 1303839
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=202] with future log sequence number 1303795
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=372] with future log sequence number 1303795
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=201] with future log sequence number 1303751
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=309] with future log sequence number 1303751
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=200] with future log sequence number 1303707
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=321] with future log sequence number 1303707
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=199] with future log sequence number 1303663
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=375] with future log sequence number 1303663
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=198] with future log sequence number 1303619
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=335] with future log sequence number 1303619
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=197] with future log sequence number 1303575
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=394] with future log sequence number 1303575
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=244] with future log sequence number 1315034
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=378] with future log sequence number 1315034
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=242] with future log sequence number 1314990
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=392] with future log sequence number 1314990
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=237] with future log sequence number 1314946
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=376] with future log sequence number 1314946
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=322] with future log sequence number 1314946
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=236] with future log sequence number 1314840
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=389] with future log sequence number 1314840
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=274] with future log sequence number 1649281
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=409] with future log sequence number 1649281
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=273] with future log sequence number 1649237
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=334] with future log sequence number 1649237
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=272] with future log sequence number 1649193
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=406] with future log sequence number 1649193
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=271] with future log sequence number 1649133
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=317] with future log sequence number 1649133
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=212] with future log sequence number 1651263
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=211] with future log sequence number 1651231
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=210] with future log sequence number 1651186
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=209] with future log sequence number 1651157
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=208] with future log sequence number 1651128
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=207] with future log sequence number 1651099
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=206] with future log sequence number 1651070
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=205] with future log sequence number 1651041
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=204] with future log sequence number 1651012
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=203] with future log sequence number 1650983
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=202] with future log sequence number 1650954
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=201] with future log sequence number 1650925
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=200] with future log sequence number 1650896
2026-03-25 15:00:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=53, page number=199] with future log sequence number 1650867
